edad_anios,antiguedad_laboral_anios,amt_income_total,amt_credit,amt_annuity,calificacion_region_ciudad,CODE_GENDER,ORGANIZATION_TYPE,NAME_EDUCATION_TYPE,default
56,2.8071623667058114,42569.689944215126,163246.29721644998,19567.249940208556,2,F,School,Secondary / secondary special,1
46,6.747424087396281,26062.040934065724,91500.7504206115,7497.727901827275,2,F,Business Entity,Secondary / secondary special,0
32,9.93786453098682,28300.559392717347,73677.58861424358,5875.645209176634,1,F,Government,Incomplete higher,0
60,3.7952500023968834,25978.8929522964,85609.87271559284,6438.7006024839675,1,F,Business Entity,Secondary / secondary special,0
25,7.0,22007.22931623876,51977.331207796444,3914.620314760401,2,F,Government,Incomplete higher,0
38,1.7604749684168013,28602.29758949387,129366.40740009565,8965.598469996721,3,M,Self-employed,Incomplete higher,1
56,3.897553220987689,43761.53905618781,113708.48342576477,13490.841674530462,1,F,School,Higher education,1
36,2.11735589646599,37497.52969891578,88420.51007073071,9810.674917874785,2,M,Business Entity,Secondary / secondary special,0
40,2.673892123015595,29169.867829487914,120512.91667900387,8697.068956213107,2,F,Business Entity,Secondary / secondary special,1
28,6.591568818884354,76707.42085718563,119784.29161743818,8548.529723483267,3,M,Other,Higher education,0
28,10.0,13288.885166641481,32398.847708478104,1854.7491172661134,1,M,Self-employed,Higher education,0
41,0.6476706251292532,42322.23840824829,119089.83870237817,13265.674395174748,2,M,Business Entity,Incomplete higher,0
53,5.0343503754686285,33813.667802558564,155131.45647370836,11793.655448940124,3,F,Other,Secondary / secondary special,1
57,4.363089714596195,22357.327196899234,107908.67505949296,9720.74553292834,2,F,Business Entity,Higher education,0
41,0.6301694984267912,43574.49028466432,174632.3031566343,19738.06771321088,2,M,Self-employed,Secondary / secondary special,1
20,1.1906154984419532,32536.762855559162,104894.00843471999,8241.212322164762,3,F,Government,Secondary / secondary special,0
39,1.8625881438859102,67747.08643087914,253521.4817335509,26995.160821918238,2,F,Business Entity,Secondary / secondary special,0
19,0.9131944606024276,56051.86048201619,165297.1428818995,13243.606069039763,3,F,Business Entity,Secondary / secondary special,0
41,1.3967806972939378,94189.62986888975,239796.47554314652,23755.645448982574,3,F,Self-employed,Secondary / secondary special,0
61,1.5571477846373558,28519.43417493825,137674.95149313306,11039.178038791175,1,F,Business Entity,Secondary / secondary special,0
47,2.044910174049123,73004.56444894976,138990.89361029383,10770.840696490057,2,M,School,Secondary / secondary special,0
55,6.919295699420797,20273.555194332097,54989.53471438745,6562.9815441721485,2,M,Self-employed,Secondary / secondary special,0
19,1.0,34361.1467588477,159669.76709690146,14827.651320662539,3,F,Business Entity,Secondary / secondary special,1
38,20.0,28778.287446445283,116005.13300824213,8783.605052728133,2,M,Other,Secondary / secondary special,0
